,Experiment_ID,Algorithm,N,R,range_flag,type,seed,kproj,w,M,probes,Average AF,Recall@N,QPS,tApproximateAverage,tTrueAverage
78,79,hypercube,1,2000.0,false,protein,1,4,5.0,10,14,2.22677,0.0,217786.0,4.59167,0.00504142
79,80,hypercube,1,2000.0,false,protein,1,4,5.0,10,16,2.22677,0.0,226415.0,4.41667,0.00490315
80,81,hypercube,1,2000.0,false,protein,1,4,5.0,10,18,2.22677,0.0,216216.0,4.625,0.00494984
81,82,hypercube,1,2000.0,false,protein,1,4,5.0,100,2,1.93127,0.0,43057.1,2.3225,0.00496216
82,83,hypercube,1,2000.0,false,protein,1,4,5.0,100,4,1.93127,0.0,42149.6,2.3725,0.00507305
83,84,hypercube,1,2000.0,false,protein,1,4,5.0,100,6,1.93127,0.0,41739.1,2.39583,0.00485472
84,85,hypercube,1,2000.0,false,protein,1,4,5.0,100,8,1.93127,0.0,40830.2,2.44917,0.00484953
85,86,hypercube,1,2000.0,false,protein,1,4,5.0,100,10,1.93127,0.0,42105.3,2.375,0.00487707
86,87,hypercube,1,2000.0,false,protein,1,4,5.0,100,12,1.93127,0.0,41039.7,2.43667,0.00500266
87,88,hypercube,1,2000.0,false,protein,1,4,5.0,100,14,1.93127,0.0,41180.5,2.42833,0.00487027
88,89,hypercube,1,2000.0,false,protein,1,4,5.0,100,16,1.93127,0.0,39933.4,2.50417,0.00496836
89,90,hypercube,1,2000.0,false,protein,1,4,5.0,100,18,1.93127,0.0,41279.7,2.4225,0.00491727
90,91,hypercube,1,2000.0,false,protein,1,4,5.0,1000,2,1.43382,0.0,4116.92,0.0002429,0.00507714
91,92,hypercube,1,2000.0,false,protein,1,4,5.0,1000,4,1.43382,0.0,4265.3,0.00023445,0.00493655
92,93,hypercube,1,2000.0,false,protein,1,4,5.0,1000,6,1.43382,0.0,4247.34,0.000235442,0.00492013
93,94,hypercube,1,2000.0,false,protein,1,4,5.0,1000,8,1.43382,0.0,4291.85,0.000233,0.00501582
94,95,hypercube,1,2000.0,false,protein,1,4,5.0,1000,10,1.43382,0.0,4089.98,0.0002445,0.00507787
95,96,hypercube,1,2000.0,false,protein,1,4,5.0,1000,12,1.43382,0.0,4118.76,0.000242792,0.00497057
96,97,hypercube,1,2000.0,false,protein,1,4,5.0,1000,14,1.43382,0.0,4221.04,0.000236908,0.0049782
97,98,hypercube,1,2000.0,false,protein,1,4,5.0,1000,16,1.43382,0.0,4137.79,0.000241675,0.00499561
98,99,hypercube,1,2000.0,false,protein,1,4,5.0,1000,18,1.43382,0.0,4005.34,0.000249667,0.00492739
99,100,hypercube,1,2000.0,false,protein,1,4,5.0,10000,2,1.05317,0.25,416.113,0.00240319,0.00496043
100,101,hypercube,1,2000.0,false,protein,1,4,5.0,10000,4,1.05317,0.25,410.048,0.00243874,0.00501287
101,102,hypercube,1,2000.0,false,protein,1,4,5.0,10000,6,1.05317,0.25,409.341,0.00244295,0.00504549
102,103,hypercube,1,2000.0,false,protein,1,4,5.0,10000,8,1.05317,0.25,410.404,0.00243662,0.00487844
103,104,hypercube,1,2000.0,false,protein,1,4,5.0,10000,10,1.05317,0.25,415.232,0.00240829,0.00493157
104,105,hypercube,1,2000.0,false,protein,1,4,5.0,10000,12,1.05317,0.25,414.82,0.00241068,0.00494963
105,106,hypercube,1,2000.0,false,protein,1,4,5.0,10000,14,1.05317,0.25,410.745,0.0024346,0.00490689
106,107,hypercube,1,2000.0,false,protein,1,4,5.0,10000,16,1.05317,0.25,416.764,0.00239944,0.00492928
107,108,hypercube,1,2000.0,false,protein,1,4,5.0,10000,18,1.05317,0.25,369.998,0.00270272,0.00490749
108,109,hypercube,1,2000.0,false,protein,1,4,8.0,10,2,2.34191,0.0,278422.0,3.59167,0.00490472
109,110,hypercube,1,2000.0,false,protein,1,4,8.0,10,4,2.34191,0.0,267857.0,3.73333,0.00496279
110,111,hypercube,1,2000.0,false,protein,1,4,8.0,10,6,2.34191,0.0,191693.0,5.21667,0.0049148
111,112,hypercube,1,2000.0,false,protein,1,4,8.0,10,8,2.34191,0.0,267261.0,3.74167,0.00489718
112,113,hypercube,1,2000.0,false,protein,1,4,8.0,10,10,2.34191,0.0,230326.0,4.34167,0.00496353
113,114,hypercube,1,2000.0,false,protein,1,4,8.0,10,12,2.34191,0.0,236686.0,4.225,0.00494633
114,115,hypercube,1,2000.0,false,protein,1,4,8.0,10,14,2.34191,0.0,153846.0,6.5,0.00491069
115,116,hypercube,1,2000.0,false,protein,1,4,8.0,10,16,2.34191,0.0,229446.0,4.35833,0.00494687
116,117,hypercube,1,2000.0,false,protein,1,4,8.0,10,18,2.34191,0.0,179104.0,5.58333,0.0052449
